TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster
28,361,5959.639214741101,1173,0,24,564,401,90,2,59,0,20,1,32321209.02980119,174,2
29,286,12180.78423756554,201,1,3,273,247,52,0,29,0,257,1,38095319.70094325,35,2
30,359,51785.30824849659,1820,0,37,344,567,1,1,45,0,50,1,57452202.06883646,267,3
31,262,25434.791355325884,1736,1,39,41,476,1,1,49,1,45,1,22357255.352808435,0,1
32,398,16019.277158172245,1969,1,25,244,394,27,1,26,3,145,1,3497145.723545959,354,0
33,199,131345.69649560095,395,1,38,430,514,73,0,75,2,137,1,18910787.850003965,291,4
34,399,68013.59210063552,146,1,28,37,446,39,2,55,2,216,1,3957703.527905607,69,0
35,415,66567.84726573052,1265,1,35,535,479,13,0,63,2,119,1,16769686.489780052,68,4
36,474,7112.60052861087,49,1,30,601,25,45,2,38,0,19,1,55120371.30638614,321,3
37,118,48990.74002013274,659,0,5,193,485,43,2,57,0,116,1,51795654.225006945,160,3
38,115,11413.489492783556,615,1,40,192,218,8,0,19,3,117,1,942635.7667500192,100,0
39,10,61689.468046274545,1232,1,21,659,520,4,1,27,3,33,1,3373068.8609469635,210,0
40,395,88132.8679874978,1671,1,6,287,285,50,1,74,2,90,1,18125303.7617132,288,4
41,277,33457.05983169119,2120,1,3,101,43,69,1,26,3,75,1,5857165.198217976,250,0
42,433,103270.7856233676,1685,1,28,379,244,89,2,19,3,105,1,3036083.8569320054,311,0
43,291,126826.73428817444,2005,1,10,275,570,22,2,26,3,138,1,1034607.7411515255,61,0
44,465,4687.545295760444,517,0,34,293,75,54,2,41,1,175,1,5181799.3254838195,8,0
45,157,86127.80566758067,256,0,18,635,108,39,2,69,2,121,1,15156221.987758366,44,4
46,476,85970.3083252307,322,1,29,574,230,14,2,51,1,264,1,20104988.878499735,159,4
47,113,17493.290746832372,937,1,41,229,277,77,1,67,0,145,1,57797407.1649986,22,3
48,53,34468.67737678533,1506,1,36,424,425,35,1,28,3,142,1,3567985.8572860747,155,0
49,413,21370.148404678173,540,1,29,616,244,94,0,62,2,90,1,17367271.67927246,258,4
50,368,64241.73267102303,1285,1,23,12,537,51,1,25,3,83,1,5138915.2598480405,172,0
51,266,12467.510168510384,2127,0,8,444,0,94,1,57,2,52,1,13711463.244851751,214,4
52,450,59316.91192754079,400,0,9,300,292,74,1,68,2,61,1,17989943.659421608,86,4
53,141,78289.2840906237,955,1,16,143,245,63,1,48,1,28,1,21837256.976459954,46,1
54,421,22872.43074709342,1651,1,18,87,289,63,1,23,3,51,1,3612265.7876260914,313,0
55,432,115038.66397228705,1680,1,16,227,373,93,0,46,1,152,1,21330480.540782183,2,1
56,419,70842.48667284487,1885,1,19,495,562,96,2,48,1,226,1,25796123.147778712,106,1
57,320,121677.78271134799,892,0,30,527,76,0,1,56,1,104,1,32801308.94002018,98,2
58,428,1408.369860165877,1856,1,5,443,155,70,2,50,0,124,1,54242682.59957651,308,3
59,237,40895.78046268283,539,0,26,96,125,2,1,42,1,186,1,10028474.22271795,317,0
60,314,60500.16119186248,680,1,16,417,567,4,1,56,2,225,1,11694516.29526596,229,4
61,454,105455.55644929945,646,1,0,294,87,62,1,25,3,128,1,7571558.473160032,346,0
62,455,23924.432226123456,232,0,2,126,437,56,2,60,1,16,1,14218782.516803395,48,4
63,389,38430.34129589651,1913,0,16,658,77,39,1,32,1,103,1,3793379.2330010626,139,0
64,214,27209.66525180842,1177,1,1,196,419,90,0,44,1,220,1,14918692.343920415,235,4
65,51,29160.20926091209,83,1,9,392,498,65,2,35,1,135,1,24722858.286297403,183,1
66,277,5244.843584075777,1109,1,4,176,562,69,0,62,2,55,1,22749997.396953817,351,1
67,108,47476.34249753672,1777,0,17,285,149,45,2,26,3,280,1,25354099.32476979,142,1
68,234,47112.887092113684,2214,1,29,72,159,65,0,37,1,51,1,25944433.772604074,174,1
69,6,33081.48924608738,973,1,18,69,481,59,2,22,3,113,1,2464050.7463310757,119,0
70,21,18725.00073187713,448,1,25,350,578,94,1,44,0,69,1,56910063.72731797,312,3
71,458,24532.21043185866,2150,1,24,539,185,44,1,19,3,77,1,5287652.398888589,27,0
72,13,35427.795807762806,1175,1,39,358,86,31,2,50,0,67,1,40827724.8594905,246,2
73,400,37337.95588293059,1018,1,10,467,552,73,0,38,1,102,1,2147460.8766058246,208,0
74,439,69984.32807670713,1791,0,31,95,87,80,2,58,1,80,1,25021961.073200107,113,1
75,217,52724.23471250613,1872,1,10,590,403,27,2,49,0,170,1,27832689.75126297,195,1
76,138,31482.285462225984,1093,1,36,473,199,29,2,34,0,157,1,5913193.656485336,199,0
77,298,5202.440453443092,1778,1,23,410,170,32,1,64,0,69,1,38274804.63749661,341,2
78,367,114947.8001209313,1436,1,42,17,529,53,0,48,0,115,1,40938114.493184045,69,2
79,432,2183.7413917350273,1039,0,36,435,88,42,2,58,0,179,1,49961216.58550036,167,3
80,431,79589.64676335947,1947,1,18,139,245,21,2,24,3,100,1,3074664.00639638,135,0
81,104,145005.56214941703,1545,0,25,310,12,51,2,60,2,34,1,15762957.845867453,109,4
82,147,46818.08437438165,529,1,15,505,484,48,1,21,3,135,1,2401547.026796832,260,0
83,367,89516.01772480216,2165,1,20,619,204,46,2,19,3,260,1,5339648.359121479,118,0
84,419,130313.88698353888,387,1,35,174,195,92,0,29,1,72,1,4439005.432731023,101,0
85,9,102955.79093866762,1049,0,23,596,271,47,1,51,1,127,1,29893722.76109097,189,1
86,10,5363.976189186664,1171,1,21,187,487,6,0,57,1,78,1,784631.6370341111,281,0
87,447,30050.675004198547,1468,1,5,91,143,27,1,71,2,133,1,8208925.806723246,59,0
88,175,23468.09377264786,1517,1,35,507,93,3,1,37,0,175,1,29642660.984425817,135,1
89,260,77653.23713113337,147,1,13,309,231,65,1,30,1,24,1,34521479.543877,283,2
90,17,20140.457616330204,1334,0,12,507,395,94,2,20,3,167,1,36388448.58579626,219,2
91,73,17051.086670234326,1752,0,13,583,325,8,1,55,0,164,1,4585532.452656522,268,0
92,458,39851.85577043997,340,1,41,160,314,98,1,27,1,146,1,36525824.93710508,129,2
93,167,26480.735244265532,9,1,19,621,36,44,0,32,1,235,1,30849541.11731842,12,1
94,230,62212.439990744366,2034,1,7,77,580,46,2,46,1,51,1,36522800.56357923,264,2
95,12,23460.016985860675,1852,1,39,178,51,31,2,59,2,80,1,23830513.000093255,181,1
96,391,153013.6962489048,409,1,34,27,221,11,1,27,3,17,1,1636147.8806392774,316,0
97,417,101962.34616384463,2017,1,20,497,342,82,2,22,3,35,1,1741496.8917897372,179,0
98,152,29123.863720369784,1256,1,35,450,285,54,0,63,2,147,1,30952408.5912169,258,1
99,313,49822.649059212155,495,1,27,515,429,88,0,25,3,180,1,3824592.318748623,243,0
100,390,51605.59974248186,656,0,9,458,120,11,2,51,1,174,1,34317256.782842964,33,2
101,119,43405.64195679863,386,0,9,551,454,8,0,78,2,282,1,13687384.578703634,193,4
102,331,66444.67626722604,240,1,14,629,250,50,2,40,1,104,1,1866892.0710538474,7,0
103,462,748.0925403140055,1197,1,36,647,431,41,2,47,0,107,1,47097212.404559046,210,3
104,277,60835.34784353039,1691,0,2,258,551,39,2,68,0,47,1,52531313.6981603,354,3
105,83,82555.84671095086,1122,1,4,523,585,40,2,26,1,62,1,32368397.01160837,7,2
106,90,23631.648705088228,837,1,14,637,75,85,1,39,1,167,1,25134715.922086943,219,1
107,290,11060.130070844485,1371,1,15,468,436,24,0,69,2,121,1,6407988.920118391,140,0
108,352,13032.8852436129,1938,0,11,416,506,27,2,46,0,165,1,43334852.96438145,230,2
109,306,64427.49876712815,840,1,11,302,526,75,2,27,3,91,1,569280.7323857299,308,0
110,64,67209.95181531123,1424,1,32,36,372,5,2,41,1,61,1,16183849.828214983,276,4
111,335,1260.968501299861,2003,1,42,20,491,0,0,56,2,41,1,21557114.68512316,264,1
112,279,43563.139299148614,1284,0,11,110,281,25,2,70,0,247,1,43244082.98458637,332,2
113,205,121154.81076687816,1479,1,30,41,567,80,1,57,0,158,1,5493658.764822481,230,0
114,51,7946.528764387071,1502,1,23,661,521,4,2,26,3,108,1,1182608.17382039,79,0
115,376,25426.714568538708,1097,1,28,116,135,3,1,33,1,105,1,24470749.61110407,62,1
116,378,61313.897460670734,1616,0,35,51,312,58,1,78,2,40,1,19910188.204219308,331,4
117,200,42250.661446232065,1959,1,21,326,499,54,2,47,1,273,1,36239362.48057965,142,2
118,491,1408.369860165877,1942,0,20,230,551,97,1,23,3,254,1,4339937.812749639,269,0
119,343,77241.32100498724,1392,1,0,609,488,33,0,56,0,75,1,45895527.99028778,189,3
120,174,3506.315228135551,1743,1,25,447,180,64,0,50,0,124,1,55844243.4775926,335,3
121,279,98392.40640391163,1023,1,28,166,107,59,2,18,3,68,1,6785492.774575834,40,0
122,267,68167.05104959192,93,1,35,408,312,2,1,21,3,18,1,3884304.308874388,214,0
123,379,47607.59028282838,1463,1,6,531,433,44,2,23,3,120,1,1028675.316158512,144,0
124,397,1454.8113841921413,1797,1,6,534,231,89,2,30,0,246,1,21108887.01898429,200,4
125,161,46107.32713710992,1099,1,5,421,285,56,0,18,3,294,1,1330957.572665311,310,0
126,106,47439.99695699442,1802,0,28,576,580,29,2,66,2,17,1,4140716.900239125,293,0
127,391,23064.25443328892,1612,0,17,353,393,18,1,69,2,166,1,23571812.74157435,58,1
128,428,9501.310220918986,285,1,20,235,188,84,0,20,3,92,1,6438310.203416021,61,0
129,328,84140.9161179347,1246,1,22,317,111,76,0,66,0,141,1,39219843.81628577,240,2
130,274,53905.46478013101,215,1,30,155,381,48,2,54,2,92,1,17244707.003436394,354,4
131,70,14256.518441870483,1218,1,41,395,342,72,2,80,2,113,1,25025101.768784646,161,1
132,237,67468.40899250095,1951,0,0,527,43,38,1,35,1,293,1,10816090.882084634,111,4
133,298,54337.57287324507,1690,1,35,581,344,77,2,20,3,160,1,2316670.6979752057,131,0
134,436,100401.50711722234,1862,1,37,69,328,8,1,61,0,265,1,50041672.676091895,198,3
135,85,76217.58827971233,278,1,40,461,545,80,0,37,1,245,1,35143686.2357914,215,2
136,171,17006.664342904853,1485,0,39,220,398,57,2,36,1,171,1,34938804.31642481,277,2
137,415,19074.321760422616,1238,0,27,418,235,91,2,20,3,72,1,4472661.281710998,340,0
138,109,162459.49839651035,632,0,22,106,268,29,1,68,0,129,1,47186780.3897477,137,3
139,270,7463.940753853142,1579,1,5,652,37,56,1,23,3,122,1,2377545.908687837,316,0
140,485,6004.061542070589,896,1,42,299,341,34,2,62,0,99,1,33624248.73120802,7,2
141,374,28417.144876491635,1692,0,21,470,199,1,2,53,0,177,1,39162458.26733374,68,2
142,223,62347.72616942962,48,1,11,75,78,48,1,33,0,285,1,20585360.206855655,10,4
143,252,12489.721332175128,871,0,40,438,4,84,1,56,2,53,1,4065844.268464542,179,0
144,60,15358.999838320378,1360,1,26,113,179,27,1,70,0,125,1,26842478.839683864,76,1
145,377,24063.75679820229,1993,1,18,272,291,99,1,51,2,137,1,5726070.238078225,178,0
146,179,47070.48396148099,184,1,22,355,183,43,0,34,1,165,1,442334.5923391338,351,0
147,472,25727.574876361112,269,1,3,0,113,0,1,75,2,268,1,21988669.522850294,139,1
148,199,61697.54483306173,2062,1,15,272,237,6,1,31,1,36,1,15736126.22433042,142,4
149,326,57154.35226527368,800,1,11,146,351,12,0,22,3,109,1,6154600.702279505,75,0
150,468,157312.56601638068,484,1,15,418,108,17,1,31,1,17,1,26470519.670023818,172,1
151,263,24308.07959851445,1426,1,20,298,507,92,1,56,2,96,1,21394806.63923585,71,1
152,242,36021.439636620446,788,1,6,640,86,87,2,76,2,43,1,20723240.62041879,7,4
153,293,52920.09679209521,877,1,10,314,242,93,1,22,3,36,1,3506606.5843191342,29,0
154,104,34462.619786694944,500,1,6,60,69,45,2,24,3,19,1,7008327.064999716,74,0
155,33,15029.870776742846,815,1,32,58,157,21,1,26,3,14,1,3059503.3647475657,288,0
156,268,160278.76596397208,826,1,3,406,32,58,0,19,3,164,1,2992152.8927680487,255,0
157,154,48110.37026033026,2141,1,31,437,486,48,2,71,2,46,1,4591193.4595126,87,0
158,9,7142.888479062786,1968,0,30,35,226,90,2,54,1,54,1,2822245.1390465507,6,0
159,34,149714.32884634225,1187,1,30,29,0,9,2,41,0,123,1,56089023.863088675,124,3
160,147,91821.94035254171,648,1,0,148,362,16,0,58,0,82,1,46713465.93295209,342,3
161,222,60914.096514705394,1906,1,17,263,159,64,1,73,2,100,1,30580914.709791597,97,1
162,75,22642.24232365883,589,0,41,140,12,35,1,19,3,201,1,7575164.456979315,269,0
163,434,40968.47154376744,21,1,19,600,271,18,0,59,0,299,1,28420736.531943087,233,1
164,316,80851.64469885615,163,1,32,291,385,61,0,59,1,109,1,12453091.213980567,118,4
165,253,127525.37634526541,391,1,23,89,302,83,0,62,2,52,1,5292537.925353423,351,0
166,130,2452.2945524087177,1794,0,30,482,5,82,0,60,1,245,1,4820813.2033598665,329,0
167,111,43837.75004991269,27,1,20,396,132,82,0,38,0,235,1,30532990.021612734,240,1
168,97,45951.84899145673,1566,0,21,605,318,40,1,49,0,141,1,38158909.09302524,213,2
169,260,90075.3352098143,1520,0,19,169,427,59,1,43,0,101,1,40051817.954031594,326,2
170,45,56895.895088083955,157,0,41,517,211,16,2,25,3,24,1,1142128.0973974657,241,0
171,4,98889.12879132312,1100,1,17,448,290,35,1,52,1,132,1,29033792.55524081,63,1
172,357,909.628276057583,516,0,20,209,59,84,1,50,0,131,1,44150774.658028536,228,3
173,420,40504.05630350466,1388,1,7,293,279,22,1,69,2,165,1,28173629.705273274,163,1
174,105,4354.377840789324,1213,1,40,81,580,68,1,62,2,75,1,10716364.103770692,291,4
175,232,23189.444628490193,1805,1,11,21,387,37,2,62,2,32,1,25886893.12757379,92,1
176,352,99811.90168175829,1253,1,7,226,399,21,1,53,2,236,1,28825808.71430924,98,1
177,111,62315.419022280905,971,1,20,13,2,6,0,19,3,14,1,4103532.615478988,205,0
178,9,2500.755273131798,2036,1,1,127,172,16,2,43,0,161,1,23102375.686734963,237,1
179,492,63609.724104926296,1932,1,40,344,230,96,1,59,1,151,1,28161222.019013375,139,1
180,374,10541.196519768251,159,1,39,194,274,62,1,64,2,107,1,19171737.001657475,120,4
181,446,28709.92839752687,860,1,22,357,270,58,1,60,1,100,1,31518625.598883502,349,2
182,19,58404.23502058959,1415,1,10,559,316,91,0,68,2,63,1,6782894.915265167,217,0
183,178,161890.08492801423,721,1,28,631,530,61,0,31,1,108,1,37461674.673258,26,2
184,364,98283.3697822847,213,1,15,566,111,60,0,46,1,143,1,24710024.08582232,322,1
185,447,105473.7292195706,296,1,18,106,197,83,0,54,0,214,1,36617370.3972914,68,2
186,334,65219.02387227167,1304,0,33,516,552,55,0,63,2,61,1,23111332.485253826,218,1
187,244,61814.658241475816,338,1,32,674,324,97,0,65,0,158,1,52471097.64578023,112,3
188,473,87488.7442412203,1251,1,12,72,417,43,0,40,0,145,1,44597645.233482726,322,3
189,296,140415.92805760275,2086,1,25,6,373,34,0,61,2,72,1,5392264.703667365,60,0
190,374,23839.625964858078,492,1,21,510,238,87,0,55,1,171,1,26009147.611253366,351,1
191,128,78347.84079483074,402,0,11,242,396,38,2,57,0,149,1,27826602.23019171,266,1
192,5,15363.03823171397,856,1,1,137,178,25,0,25,3,202,1,1636225.4286784036,83,0
193,94,39771.087902568186,825,1,30,496,61,55,1,75,2,99,1,28401388.296181556,205,1
194,106,27441.872871939806,1386,1,13,611,156,73,0,50,0,106,1,32559203.96187389,283,2
195,411,73190.8124312171,37,1,29,650,524,87,0,63,0,180,1,30813287.409027774,224,1
196,385,26807.845109146274,1772,1,5,198,374,13,1,44,0,42,1,22779194.23368414,49,1
197,408,98277.31219219432,2022,0,25,442,565,96,2,76,2,37,1,11925997.19205221,99,4
198,3,110869.02279340601,1139,1,8,179,251,63,0,64,2,131,1,23873474.613768157,248,1
199,45,92581.15831053651,1061,1,41,208,489,41,2,28,1,15,1,32258472.66614958,90,2
200,195,102463.10694464973,82,1,6,303,97,76,0,58,1,64,1,897270.1638622623,316,0
201,309,98495.38543544814,2154,1,16,28,79,16,1,57,2,119,1,9751201.208828757,219,0
202,209,33293.504899250824,1637,1,36,422,401,86,1,41,0,292,1,39128298.35609944,277,2
203,113,117689.86923517847,56,1,4,640,536,8,0,22,3,176,1,1867008.393112533,196,0
204,53,10745.135386144513,1884,1,23,626,228,18,0,48,0,85,1,4351221.052442233,303,0
205,421,127501.14598490388,2031,1,4,527,66,53,0,21,3,62,1,1442898.167141345,328,0
206,395,105996.70116404042,1858,1,28,530,342,98,0,43,0,159,1,52344422.923870556,29,3
207,294,44160.82152139984,1800,0,10,465,13,42,1,46,1,35,1,11859887.488698682,35,4
208,339,18714.904748393154,134,1,13,285,177,80,0,51,0,141,1,57944283.151100166,174,3
209,424,1303.3716319325454,1919,1,38,548,574,9,0,39,0,49,1,54844455.38318163,358,3
210,172,11153.013118897043,1577,0,25,498,182,86,0,56,2,161,1,26124461.545431305,73,1
211,174,149003.57160907052,1994,1,22,163,23,36,1,48,1,10,1,12851222.846845094,270,4
212,222,74733.47870756825,438,1,41,215,348,81,1,54,0,14,1,3222237.9248500615,245,0
213,388,6918.757645718579,102,0,13,399,491,44,2,53,2,170,1,5979691.100034484,20,0
214,25,13670.95139980002,724,0,21,401,84,97,2,32,1,144,1,26449891.891616732,103,1
215,74,35999.22847295571,38,1,19,432,225,13,2,35,0,85,1,52253652.94407548,357,3
216,212,119081.09575927001,216,1,32,585,333,30,1,32,1,130,1,2775328.5753763043,253,0
217,199,35276.35605550321,1792,1,26,229,389,51,0,21,3,282,1,5072534.138357579,328,0
218,394,16059.661092108141,1252,0,22,186,551,68,2,56,1,189,1,28136949.482767448,115,1
219,3,8453.347135282547,2226,1,21,208,140,60,1,59,2,156,1,4479020.220919198,304,0
220,255,19873.923652353307,312,0,1,486,251,62,1,77,2,55,1,25781040.05416902,293,1
221,409,7122.696512094834,1877,1,30,155,378,79,1,22,3,81,1,33776397.98397004,58,2
222,332,99599.88602859485,1769,1,14,393,482,11,2,23,3,74,1,3331541.885995862,213,0
223,124,15094.485071040273,46,1,1,205,283,85,0,51,1,158,1,10908605.69276001,297,4
224,299,153809.2597474419,1486,1,31,625,226,4,2,57,1,118,1,23967113.871010836,192,1
225,464,55383.51676218473,162,0,15,513,145,6,1,26,1,134,1,25632031.49699154,94,1
226,39,75294.81538927717,2171,1,37,357,74,19,1,67,2,143,1,13515227.93184753,216,4
227,436,44455.62423913187,1455,1,39,534,458,20,0,18,3,13,1,2929494.077155557,252,0
228,424,46157.80705452979,2185,1,1,202,580,9,2,18,3,65,1,2917396.583052155,312,0
229,253,48298.155553132165,744,0,18,541,206,42,1,39,0,86,1,33002158.361352302,312,2
230,71,37921.50372830425,1107,1,42,147,456,36,2,58,0,13,1,5855032.627142057,1,0
231,424,69128.18867726618,260,1,38,435,480,41,2,18,3,148,1,1987905.7861074302,226,0
232,357,87993.54341541897,1498,1,22,134,536,90,0,59,0,215,1,49047739.458634816,112,3
233,302,63419.91961542759,870,0,32,482,304,39,1,54,1,44,1,909367.6579656638,60,0
234,83,15417.556542527429,1569,1,4,13,95,93,0,23,3,154,1,4242808.893746358,276,0
235,442,4948.021669646962,1363,1,20,367,36,60,0,59,1,161,1,26026944.886232406,103,1
236,191,9810.247315528573,227,0,39,370,145,60,2,25,3,61,1,1786280.8843840628,42,0
237,314,103789.71917444382,1186,1,34,587,544,3,1,79,2,30,1,27124986.346213955,334,1
238,360,98810.38012014813,1250,1,21,250,537,97,1,43,1,168,1,27422576.946353734,289,1
239,333,2831.9035314061184,582,1,13,462,150,54,0,44,1,156,1,35076956.14812488,122,2
240,418,108454.06354403956,1123,1,19,560,17,96,2,43,1,22,1,37391493.69785045,265,2
241,145,54906.98634174119,1102,0,42,487,372,93,2,26,1,53,1,24293009.505431008,281,1
242,168,20027.382601309702,200,1,10,451,331,32,1,72,2,18,1,28931816.88379226,140,1
243,22,39835.70219686562,1423,1,37,597,292,87,2,61,2,98,1,16421340.698033372,8,4
244,258,50961.47599620436,901,1,38,55,93,57,0,42,1,246,1,32202676.85199959,92,2
245,417,9232.757060245294,535,1,12,592,559,80,2,28,3,205,1,1223708.634556305,245,0
246,449,36360.664681681956,849,1,3,637,94,0,2,35,0,180,1,20327474.202747554,233,4
247,53,78321.59123777242,1845,1,27,435,320,18,1,46,0,128,1,26615961.017401576,5,1
248,397,33992.146956341785,678,1,10,225,77,48,2,76,2,20,1,15040636.63544349,3,4
249,217,69950.00173286162,1491,1,14,211,191,24,1,69,2,253,1,15695335.955751,73,4
250,8,15356.980641623586,2190,1,33,505,267,90,0,72,2,117,1,9348610.563714579,325,0
251,439,135878.79307990504,1731,1,42,615,40,70,1,58,1,54,1,20213672.45533254,340,4
252,131,51740.88592116711,1977,1,39,201,586,83,0,45,1,152,1,24114261.275249332,314,1
253,356,9485.156647344631,234,1,30,464,550,65,2,25,3,109,1,23184692.930265483,98,1
254,25,66814.18926273947,55,0,35,269,130,87,2,26,3,66,1,6486816.501888314,206,0
255,445,2650.1758286946065,1695,1,36,652,270,62,1,53,0,52,1,56661328.39182655,298,3
256,31,9818.32410231575,2153,1,36,243,422,11,0,64,0,28,1,32007333.341445297,153,2
257,85,7510.382277879418,118,1,24,261,186,22,1,63,2,129,1,17413839.276766647,174,4
258,157,30771.52822495425,730,0,27,632,346,60,1,37,0,96,1,46161013.702230066,292,3
259,174,49233.043623748104,1134,0,37,319,107,93,2,22,3,234,1,1877981.4406486314,46,0
260,91,10080.819672899062,1646,1,41,545,167,62,1,21,3,17,1,3169388.936186801,64,0
261,421,9018.722210385056,1199,1,4,255,324,19,0,25,3,80,1,2246489.722567651,261,0
262,186,89853.22357316689,1698,1,19,389,291,98,0,53,2,87,1,12156314.868251594,292,4
263,488,73972.24155287664,2049,1,9,614,219,1,2,68,2,57,1,22858874.843884435,62,1
264,146,153179.27037804195,732,1,20,365,77,47,0,22,3,37,1,36966142.70325327,160,2
265,267,4390.723381331624,1402,1,13,335,214,54,1,51,1,72,1,20660155.290591113,65,4
266,375,96227.82754494772,1647,1,31,519,88,17,0,34,1,105,1,7762249.101366862,36,0
267,108,7257.982690780082,1052,1,37,308,545,71,0,56,2,24,1,26478352.021975376,279,1
268,488,139474.9823968964,408,1,28,377,561,37,1,27,3,93,1,6339862.967747631,150,0
269,33,42884.6892090256,1727,1,42,410,495,58,0,73,2,90,1,15782926.46594198,326,4
270,117,42921.03474956791,1966,0,13,674,491,40,1,51,1,286,1,30805144.86491972,286,1
271,481,150554.31467220886,1255,0,15,113,368,94,2,39,1,107,1,34290929.22356024,303,2
272,460,12647.218674525115,1081,1,31,83,110,34,2,24,3,170,1,7305374.828865624,115,0
273,482,34052.72285724562,1604,1,23,463,197,86,1,37,0,82,1,48576208.60673907,265,3
274,301,73229.1771684562,592,1,26,165,215,92,2,21,3,83,1,18375628.832006674,258,4
275,425,76740.56022418218,1000,1,41,42,270,88,1,78,2,126,1,8925198.270095509,164,0
276,229,48928.14492253211,999,1,8,425,280,62,1,30,0,55,1,48026935.84562114,265,3
277,383,26882.555386927677,1525,0,13,239,344,48,1,31,1,13,1,17635898.08679929,27,4
278,65,4338.224267214965,1190,1,28,562,147,46,2,36,1,213,1,7945378.795759067,219,0
279,295,84217.6455924129,693,1,36,144,149,4,1,70,0,170,1,38811437.06823726,98,2
280,380,10337.25765339199,235,1,29,642,154,61,0,62,2,139,1,8921747.382354472,112,0
281,216,20568.52731605068,1003,1,9,490,553,23,1,50,0,144,1,56124036.80275334,330,3
282,439,98283.3697822847,2095,1,21,330,71,79,2,19,3,148,1,5950416.715265032,285,0
283,365,65089.7952836768,241,1,20,149,301,36,1,46,0,179,1,27166513.321165055,10,1
284,162,143868.75440912164,1065,1,38,558,27,75,1,21,3,51,1,3709588.576727176,189,0
285,197,2712.7709262952426,1713,1,15,173,365,64,0,42,1,139,1,30422871.806056127,66,1
286,305,71104.98224342818,1834,1,7,152,8,12,0,20,3,64,1,864195.9251757185,252,0
287,104,61192.74565886306,645,1,8,415,464,61,2,54,1,25,1,25542424.737783328,222,1
288,438,6167.616474510954,430,1,21,28,418,86,2,65,2,30,1,15300771.532686196,318,4
289,435,47030.1000275451,671,1,33,303,370,59,1,27,3,148,1,4378750.606331385,39,0
290,295,36473.73969670246,1342,1,28,403,256,3,0,58,2,244,1,10189619.048018394,217,0
291,191,7655.7644400486415,168,1,17,645,197,94,1,48,0,55,1,25050731.395715248,320,1
292,243,28132.43814224359,614,0,20,178,433,66,1,53,0,281,1,6401629.980910192,299,0
293,281,47339.03712215469,638,1,21,338,434,69,0,33,1,72,1,26911302.724406745,76,1
294,47,123240.64095466708,1975,1,40,218,303,85,0,39,1,177,1,35033063.957980484,309,2
